from,to,value
34057,34172,3732
34129,34172,2723
34154,34172,2360
34123,34172,2199
34255,34172,2115
34172,34057,2109
34116,34172,1975
34172,34129,1876
34172,34270,1811
34108,34301,1723
34270,34172,1629
34090,34172,1590
34120,34172,1527
34337,34172,1503
34145,34172,1374
34301,34172,1326
34172,34198,1325
34108,34172,1313
34202,34172,1303
34172,30189,1289
34172,34154,1199
34095,34172,1179
34198,34172,1136
34077,34172,1090
34217,34172,1078
34259,34172,1060
34022,34172,1040
34327,34172,976
34088,34172,896
34247,34172,819
34114,34172,760
34113,34172,750
34169,34172,746
34309,34172,745
34058,34172,741
34163,34172,677
34276,34172,675
34148,34032,670
34299,34032,666
34239,34172,665
34298,34032,662
34336,34032,654
34037,34032,633
34172,34301,631
34192,34172,626
34172,34327,626
34069,34032,624
34301,34108,617
34161,34032,604
34134,34172,581
34032,34172,576
34300,34032,559
34320,34172,554
34023,34301,550
34344,34172,549
34087,34172,542
34140,34032,534
34213,34301,511
34310,34032,488
34172,34247,486
34003,34032,476
34240,34172,473
34172,34032,466
34178,34032,453
34172,34022,451
34333,34172,450
34157,34172,439
34081,34032,437
34172,34090,424
34176,34172,420
34172,34101,417
34183,34032,413
34213,34172,410
34153,34172,410
34031,34003,409
34032,11262,406
34172,34145,404
34150,34003,404
34159,34172,398
34135,34032,395
34172,34240,394
34172,34116,390
34172,34123,379
34127,34172,376
34147,34032,375
34151,34172,373
34010,34172,371
34145,30189,370
34274,34172,370
34155,34032,370
34146,34172,369
34179,34172,368
34079,34172,356
34032,34037,354
34244,34172,344
34025,34032,340
34307,34172,339
34198,34129,335
34073,34032,335
34225,34032,333
34332,34003,333
34003,34172,330
34090,34057,330
34172,34255,328
34032,34336,327
34165,34172,327
34084,34032,325
34051,34172,324
34172,34337,323
34172,34120,322
34341,34172,318
34129,34198,316
34172,34077,308
34172,34169,306
34209,34032,305
34024,34301,304
34321,34172,301
34151,34145,298
34157,34301,297
34032,34003,296
34082,34172,295
34249,34172,295
34329,34032,284
34154,34129,283
34295,34172,281
34113,34301,275
34014,34172,271
34052,34032,270
34324,34032,267
34172,34192,265
34003,34301,262
34227,34172,262
34272,34145,260
34023,34172,250
34129,34154,245
34272,34172,245
34101,34003,244
34301,34023,241
34108,34270,239
34172,34344,236
34172,34108,236
34239,34079,235
34282,34172,235
34139,34032,225
34172,34202,223
34078,34172,222
34074,34032,220
34012,34172,217
34166,34032,217
34108,34023,216
34223,34032,215
34258,34032,207
34023,34108,205
34199,34032,205
34246,34172,205
34051,34079,204
34172,34276,204
34172,34058,202
34337,34129,200
34027,34172,200
34063,34199,200
34035,34172,199
34050,34172,199
34129,34270,197
34142,34172,196
34095,34270,195
34032,34081,192
34145,34154,191
34094,34032,190
34120,34057,189
34145,34327,187
34032,34299,186
34154,34057,186
34198,34154,185
34090,34327,185
34154,34198,183
34256,34172,183
34129,34057,182
34301,34032,182
34210,34172,180
34031,34032,178
34243,34172,178
34343,34172,177
34301,34003,175
34057,34154,175
34032,34329,172
34001,34032,171
34311,34199,171
34057,34327,170
34224,34032,170
34032,34199,169
34128,34111,168
34183,11262,164
34172,34259,164
34123,34270,162
34157,34108,161
34248,34172,160
34164,34172,159
34057,34129,159
34150,34301,158
34172,34095,157
34033,34172,155
34113,34270,155
34127,34154,155
34340,34145,152
34340,34172,152
34145,34022,152
34172,34134,152
34108,34129,152
34067,34111,151
34194,34172,151
34332,34032,149
34290,34172,149
34202,34270,147
34322,34172,147
34299,34324,146
34145,34344,145
34312,34028,145
34057,34198,144
34172,ZZZZZ,144
34111,34172,142
34207,34003,140
34050,34154,140
34024,34172,140
34341,34301,139
34145,34129,139
34057,34090,139
34172,11262,138
34108,34024,138
34003,34150,138
34130,34032,136
34298,34299,136
34003,34199,135
34162,34199,135
34211,34126,135
34229,34284,135
34172,30133,135
34341,34157,134
34172,34217,134
34028,34126,133
34304,34142,133
34145,34057,132
34213,34108,132
34172,30006,131
34173,34172,131
34145,34151,131
34172,31555,130
34327,34057,129
34176,34154,128
34088,34270,127
34327,34154,127
34194,34079,127
34165,34301,127
34058,34327,126
34215,34172,126
34022,34327,125
34143,34157,125
34119,34126,125
34151,30189,124
34301,34024,123
34145,34146,122
34172,34079,122
34154,34327,122
34289,34032,121
34146,34145,121
34142,34079,121
34113,34108,120
34143,34301,120
34210,34079,120
34255,34247,120
34024,34023,120
34174,34111,119
34182,34199,118
34281,34172,118
34172,95527,116
34288,34172,116
34192,34154,116
34266,34172,115
34116,34057,115
34239,34114,115
34032,34298,115
34057,34240,115
34101,34032,115
34136,34199,115
34240,34154,114
34337,34192,114
34325,34032,113
34172,34114,113
34267,34172,112
34119,34028,111
34213,34024,111
34226,34032,111
34197,34079,111
34101,34172,111
34157,34143,110
34022,34057,110
34022,34154,110
34152,34172,110
34058,34057,110
34217,34057,110
34154,34240,109
34159,34108,107
34159,34301,107
34150,34032,106
34076,34172,106
34076,34079,106
34180,34079,106
34108,34113,106
34161,34081,106
34192,34129,105
34309,34057,105
34154,30189,105
34300,34199,105
34087,34270,105
34145,34240,104
34327,34240,104
34036,34142,102
34041,34172,101
34089,34032,101
34116,34247,101
34116,34270,101
34337,34154,101
34324,34299,101
