Code;name;total;PRINCIPALE;SECONDAIRE;VACANT;MAISON;APPART;AUTRE;PR_MAISON;PR_APPART;PR_AUTRE
34001;Abeilhan;833;665;79;88;760;71;1;607;57;1
34002;Adissan;604;464;46;94;566;37;1;434;29;1
34003;Agde;48026;13427;33193;1405;13184;34470;371;7314;6076;37
34004;Agel;182;109;46;28;165;13;4;97;8;4
34005;Agonès;133;111;18;4;127;6;0;105;6;0
34006;Aigne;206;132;54;19;198;9;0;127;5;0
34007;Aigues-Vives;337;220;102;14;328;5;3;212;5;3
34008;Les Aires;410;289;97;23;359;51;0;255;34;0
34009;Alignan-du-Vent;891;738;67;86;842;47;3;693;42;3
34010;Aniane;1629;1297;167;164;1247;334;48;1017;273;7
34011;Arboras;86;54;27;5;75;9;2;48;4;2
34012;Argelliers;480;389;57;34;436;39;5;360;25;4
34013;Aspiran;860;672;99;88;761;88;11;594;68;10
34014;Assas;696;634;21;41;609;77;10;569;61;4
34015;Assignan;152;78;42;32;136;15;1;72;5;1
34016;Aumelas;282;219;34;30;257;25;0;200;19;0
34017;Aumes;287;209;40;38;270;17;0;197;12;0
34018;Autignac;588;396;155;36;555;33;0;366;30;0
34019;Avène;590;171;386;33;363;223;4;140;30;1
34020;Azillanet;310;192;78;40;295;13;2;179;11;2
34021;Babeau-Bouldoux;240;139;76;25;229;9;2;130;9;0
34022;Baillargues;3125;2871;107;147;2348;770;7;2224;641;6
34023;Balaruc-les-Bains;7332;3249;3981;102;2384;4928;20;2074;1165;10
34024;Balaruc-le-Vieux;1246;1077;101;68;1028;188;31;918;143;16
34025;Bassan;998;887;52;58;894;102;2;789;96;2
34026;Beaufort;182;107;53;21;161;19;2;93;14;1
34027;Beaulieu;718;666;14;38;627;88;3;591;73;2
34028;Bédarieux;4104;2993;313;798;2066;2020;17;1588;1399;6
34029;Bélarga;304;213;45;46;284;19;1;201;12;0
34030;Berlou;191;98;81;12;165;25;1;94;4;0
34031;Bessan;2733;2105;390;238;2128;422;183;1701;367;38
34032;Béziers;44603;35215;1558;7830;16472;27815;317;14614;20441;160
34033;Boisseron;832;740;26;66;726;104;2;650;89;1
34034;Boisset;43;21;21;1;42;1;0;20;1;0
34035;La Boissière;472;414;29;29;450;21;1;394;18;1
34036;Le Bosc;731;568;125;38;650;68;13;505;61;2
34037;Boujan-sur-Libron;1659;1481;38;140;1207;450;3;1089;391;1
34038;Le Bousquet-d'Orb;1109;782;188;139;699;404;6;522;259;1
34039;Bouzigues;1048;795;207;46;813;228;7;619;172;4
34040;Brenas;48;27;15;6;46;2;0;25;2;0
34041;Brignac;346;301;11;34;324;22;0;284;17;0
34042;Brissac;454;265;180;8;422;28;3;241;23;1
34043;Buzignargues;138;127;8;3;128;10;0;118;9;0
34044;Cabrerolles;276;150;99;27;258;18;0;138;12;0
34045;Cabrières;340;232;81;27;309;30;1;205;26;1
34046;Cambon-et-Salvergues;146;28;98;20;131;16;0;26;2;0
34047;Campagnan;349;270;51;28;323;26;0;252;18;0
34048;Campagne;145;128;5;11;127;16;1;113;15;0
34049;Camplong;224;118;80;26;204;19;1;102;16;0
34050;Candillargues;702;641;23;39;538;140;25;503;125;13
34051;Canet;1499;1360;58;81;1398;92;9;1269;83;8
34052;Capestang;1752;1373;153;225;1489;257;5;1150;220;3
34053;Carlencas-et-Levas;76;62;10;4;75;1;0;61;1;0
34054;Cassagnoles;107;55;43;9;98;5;4;46;5;4
34055;Castanet-le-Haut;225;97;106;22;208;16;1;89;7;1
34056;Castelnau-de-Guers;845;546;249;50;610;60;175;475;49;22
34057;Castelnau-le-Lez;9547;8777;177;593;4705;4819;23;4344;4410;23
34058;Castries;2801;2490;195;115;2251;521;29;2010;471;9
34059;La Caunette;263;159;83;21;238;24;1;143;15;1
34060;Causse-de-la-Selle;249;165;73;11;244;3;2;161;3;2
34061;Causses-et-Veyran;431;284;143;4;392;33;6;258;21;5
34062;Caussiniojouls;109;62;28;20;103;6;0;55;6;0
34063;Caux;1404;1115;137;152;1284;110;11;1006;101;8
34064;Le Caylar;357;206;100;51;276;79;2;158;47;1
34065;Cazedarnes;340;251;43;47;331;8;1;244;6;1
34066;Cazevieille;103;73;22;8;95;7;1;65;7;1
34067;Cazilhac;802;664;98;40;694;94;14;586;75;3
34068;Cazouls-d'Hérault;245;171;52;22;227;18;0;159;12;0
34069;Cazouls-lès-Béziers;2465;2030;154;281;2134;323;9;1757;267;6
34070;Cébazan;369;266;33;70;348;19;2;255;9;2
34071;Ceilhes-et-Rocozels;445;157;276;12;297;147;1;131;26;1
34072;Celles;14;13;1;0;9;4;1;8;4;1
34073;Cers;1077;943;57;77;948;126;3;837;103;3
34074;Cessenon-sur-Orb;1358;993;325;40;1213;141;4;862;127;4
34075;Cesseras;330;199;91;40;306;20;4;181;15;3
34076;Ceyras;622;555;48;19;559;58;5;499;51;5
34077;Clapiers;2371;2166;72;133;1900;457;14;1782;376;8
34078;Claret;684;588;48;48;627;57;1;535;53;0
34079;Clermont-l'Hérault;4852;4005;228;620;2284;2526;42;1940;2051;14
34080;Colombières-sur-Orb;356;231;105;21;322;31;3;209;20;2
34081;Colombiers;1299;1033;175;91;1124;148;27;913;106;15
34082;Combaillaux;620;570;15;35;582;37;1;539;31;0
34083;Combes;200;120;75;5;179;16;5;109;10;1
34084;Corneilhan;866;745;20;101;805;60;1;692;53;0
34085;Coulobres;188;153;21;14;183;5;0;151;2;0
34086;Courniou;495;279;172;44;473;22;0;261;18;0
34087;Cournonsec;1253;1169;33;51;1056;196;2;983;184;1
34088;Cournonterral;2615;2360;83;172;2064;488;64;1869;434;57
34089;Creissan;668;552;76;40;617;47;4;504;44;4
34090;Le Crès;4158;3906;29;223;2917;1234;7;2744;1157;5
34091;Le Cros;65;25;36;4;65;0;0;25;0;0
34092;Cruzy;651;460;94;96;621;25;4;433;23;4
34093;Dio-et-Valquières;141;76;53;12;134;5;2;68;5;2
34094;Espondeilhan;511;443;29;39;458;48;5;399;40;4
34095;Fabrègues;3262;2835;229;197;2581;649;31;2228;588;19
34096;Faugères;419;245;136;38;379;40;0;226;19;0
34097;Félines-Minervois;351;222;94;35;336;13;2;207;13;2
34098;Ferrals-les-Montagnes;190;74;109;7;184;6;0;71;3;0
34099;Ferrières-les-Verreries;52;27;14;11;35;17;0;21;6;0
34100;Ferrières-Poussarou;83;44;34;4;78;5;0;41;4;0
34101;Florensac;2649;2093;279;277;2267;369;13;1768;313;11
34102;Fontanès;156;136;14;6;143;12;0;126;10;0
34103;Fontès;641;443;138;60;524;57;60;391;48;4
34104;Fos;74;41;27;7;69;5;1;35;5;1
34105;Fouzilhon;137;97;34;7;132;4;1;93;3;1
34106;Fozières;123;83;33;7;121;2;0;81;2;0
34107;Fraisse-sur-Agout;433;165;254;14;393;37;3;152;13;0
34108;Frontignan;13473;10031;3054;387;8011;5406;56;6476;3530;24
34109;Gabian;518;381;101;35;474;41;3;346;34;1
34110;Galargues;323;272;16;35;303;18;2;256;14;2
34111;Ganges;2546;2022;126;398;862;1679;4;695;1323;4
34112;Garrigues;83;75;3;5;73;10;0;67;8;0
34113;Gigean;2661;2429;54;178;1971;672;18;1825;593;11
34114;Gignac;2802;2455;83;264;2081;703;17;1830;612;13
